epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,6702.15,1.23237,1.51566,1.25524,0.54983,0.42703,0.44883,0.30912,1.20888,1.39487,1.20265,0.00333311,0.00333311,0.070002
2,13213,1.35247,1.86185,1.34165,0.59015,0.39909,0.43398,0.29812,1.21779,1.44785,1.22671,0.00653445,0.00653445,0.03987
3,19794.9,1.43571,2.09729,1.40622,0.55226,0.37608,0.39939,0.27335,1.2447,1.56089,1.25615,0.00960378,0.00960378,0.00960604
4,31606.6,1.4413,2.11253,1.41666,0.56031,0.34895,0.38222,0.263,1.25532,1.69907,1.27132,0.009406,0.009406,0.009406
5,38226.2,1.39612,1.98502,1.38389,0.57823,0.35167,0.39181,0.27127,1.24655,1.69443,1.26431,0.009208,0.009208,0.009208
6,44797.7,1.37168,1.91327,1.36492,0.58346,0.35449,0.3977,0.2763,1.23884,1.68738,1.25847,0.00901,0.00901,0.00901
7,54965.1,1.3535,1.86558,1.35278,0.58327,0.35908,0.4018,0.27939,1.23314,1.67932,1.25414,0.008812,0.008812,0.008812
8,61536.4,1.34168,1.82977,1.34324,0.58168,0.36278,0.40563,0.28228,1.22742,1.66599,1.25027,0.008614,0.008614,0.008614
9,68187,1.33311,1.80513,1.33653,0.58423,0.36637,0.41027,0.28631,1.22213,1.643,1.24573,0.008416,0.008416,0.008416
10,74908.5,1.32495,1.78325,1.3319,0.57797,0.37623,0.41666,0.2909,1.21535,1.61173,1.23963,0.008218,0.008218,0.008218
11,81565.5,1.3198,1.76577,1.32582,0.57952,0.38387,0.42343,0.29599,1.20773,1.57482,1.23277,0.00802,0.00802,0.00802
12,88205,1.31537,1.75449,1.3222,0.57397,0.39284,0.43005,0.30116,1.20055,1.53337,1.22622,0.007822,0.007822,0.007822
